Unknown	00:02:39	<sup><a href="Cut or edit made in tape. Unknown amount of time elapsed">w</a></sup>.
David McFadden	00:02:40	Reads unnamed poem. 
Unknown	00:06:02	<sup><a href="Cut or edit made in tape. Unknown amount of time elapsed">w</a></sup>.
Gerry Gilbert	00:06:03	Reads "Her white face where I have seen Her ride the last bus, before" <sup><a href="from Money">w</a></sup>.
Gerry Gilbert	00:07:14	Reads "A moving picture moves, it's the truth about movies" <sup><a href="from Money">w</a></sup>.
David McFadden	00:07:33	Reads unnamed poem. 
Gerry Gilbert	00:08:20	Reads "I REMEMBER TOOTSIE ROLLS when they were only in American comic books" <sup><a href="from Money">w</a></sup>.
David McFadden	00:09:46	Reads <sup><a href="“The Slippery Wig” published later in Intense Pleasure and collected in Why Are You So Sad?">w</a></sup>. 
Gerry Gilbert	00:10:38	Reads "London 1964" <sup><a href="from Money">w</a></sup>
David McFadden	00:12:28	Reads unnamed poem. 
Gerry Gilbert	00:13:37	Reads "waitress calls the man in the corner, HARRY” <sup><a href="from Money">w</a></sup>.
David McFadden	00:14:30	Reads unnamed poem. 
Gerry Gilbert	00:14:53	Reads "the pleasure. I said” <sup><a href="from Money">w</a></sup>.
David McFadden	00:16:14	Reads <sup><a href="“Titles I Have Heard Of But Not Read” published later in Intense Pleasure and collected in Why Are You So Sad?">w</a></sup>.
Gerry Gilbert	00:18:26	Reads <sup><a href=""Single Mens Unit" from Money">w</a></sup>.
David McFadden	00:19:05	Reads unnamed poem. 
David McFadden	00:21:03	Reads unnamed poem.
Gerry Gilbert	00:23:13	Reads "Goodness and mercy are following me across the lake" <sup><a href="from Money">w</a></sup>.
Gerry Gilbert	00:24:10	Reads "Bicycle" <sup><a href="from Money">w</a></sup>.
Gerry Gilbert	00:24:55	Reads "on the bed” <sup><a href="from Money">w</a></sup>.
David McFadden	00:25:32	Reads unnamed poem. 
David McFadden	00:26:05	Reads unnamed poem.
David McFadden	00:26:18	Reads unnamed poem.
Gerry Gilbert	00:26:49	Reads unnamed poem.
Gerry Gilbert	00:28:03	Reads "bone ring on my finger" <sup><a href="from Money">w</a></sup>.
David McFadden	00:28:34	Reads unnamed poem. 
David McFadden	00:31:05	Reads unnamed poem.
Gerry Gilbert	00:32:10	We're reading Canadian history. A few of the poems from Phone Book.
Gerry Gilbert	00:32:28	Reads untitled poem from Phone Book.
Gerry Gilbert	00:33:05	Reads untitled poem from Phone Book.
Gerry Gilbert	00:33:42	Reads untitled poem from Phone Book.
Gerry Gilbert	00:34:31	Reads untitled poem from Phone Book.
Gerry Gilbert	00:35:25	Reads untitled poem from Phone Book.
Gerry Gilbert	00:36:37	Reads untitled poem from Phone Book.
Gerry Gilbert	00:36:58	Reads untitled poem from Phone Book.
Gerry Gilbert	00:37:29	This poem's called "Garden".
Gerry Gilbert 	00:37:35	Reads "Garden" <sup><a href="from Money">w</a></sup>.
David McFadden	00:38:38	Reads <sup><a href="“Journey To Love” published later in Poems Worth Knowing">w</a></sup>.
David McFadden	00:39:21	Reads <sup><a href="“A Poem Without A Title Is Like A Letter Without A Stamp” published later in Poems Worth Knowing">w</a></sup>.
Gerry Gilbert	00:39:50	Reads "find your birds" <sup><a href="from Money">w</a></sup>.
David McFadden	00:41:32	Reads <sup><a href="“Art’s Variety” published later in Poems Worth Knowing">w</a></sup>.
Gerry Gilbert	00:42:04	Reads "sometimes I miss" <sup><a href="from Money">w</a></sup>.
David McFadden	00:42:18	Reads <sup><a href="“Another Revolution” published later in Poems Worth Knowing">w</a></sup>.
David McFadden	00:42:57	Reads <sup><a href="“Chapter One” from The Great Canadian Sonnet">w</a></sup>.
Gerry Gilbert	00:47:06	Did I hear you say 'boiled skunks'? This is a little tale. 
Gerry Gilbert	00:49:24	Reads unnamed poem. 
Gerry Gilbert	00:49:45	Reads unnamed poem. 
Gerry Gilbert	00:51:42	Reads unnamed poem.
David McFadden	00:53:02	Reads "Vital Statistics: Distances from Hamilton To..." <sup><a href="from The Great Canadian Sonnet">w</a></sup>. 
Gerry Gilbert	00:54:52	Reads unnamed poem.
David McFadden	00:54:52	Reads unnamed poem. 
David McFadden	00:55:52	Reads unnamed poem <sup><a href="audience laughter throughout">w</a></sup>. 
Gerry Gilbert	00:56:52	Reads <sup><a href="“SQUEEZE THRU THE TUBE” from And">w</a></sup>.
Gerry Gilbert	00:57:08	Reads <sup><a href="“24.11.70. TORONTO” from And">w</a></sup>.
Gerry Gilbert	00:57:59	The following is a Rochdale College <sup><a href="https://www.wikidata.org/wiki/Q14875408">w</a></sup> council meeting. 23rd of November, 1970.
